Dev|Company
Tom Lane|Crunchy Data
Bruce Momjian|EnterpriseDB 
Simon Riggs|2ndQuadrant
Peter Eisentraut|F-Secure
Magnus Hagander|Redpill Linpro
Dave Page|EnterpriseDB 
Andrew Dunstan|PostgreSQL Experts
Oleg Bartunov|SAI-MSU
Teodor Sigaev|
Jeff Davis|Aster Data
Devrim Gündüz|EnterpriseDb
Robert Haas|EnterpriseDb
Hiroshi Inoue|Fukui, Japan
Francisco Figueiredo|
Robert Treat|OmniTI
Greg Smith|2ndQuadrant
David Wheeler|PostgreSQL Experts
Pavel Stehule|
Marc Cave-Ayland|iLande Consulting
Selena Deckelmann|Prime Radiant
David Fetter|PostgreSQL Experts
